* Sample of n-grams (top 50,000 words, where the first word in the string starts with "m")
* This sample data is taken from the one billion word Corpus of Contemporary American English (COCA)
(www.english-corpora.org/coca), which is the only corpus of English that is large, up-to-date, and is based on a wide range of genres.
* For complete n-grams data from COCA, please see https://www.ngrams.info
* For an explanation of the columns below, see https://www.wordfrequency.info/files.asp. This is format #2 on that page.
----- Before converting file to Excel, remove the first seven lines, with the first line being the one starting with "rank"

29207	m	)	(	m	z	)	(	z
155	mom	,	what	are	n	,	d	v
155	money	.	<p>	in	n	y	y	i
155	more	importantly	,	we	r	r	y	p
155	more	likely	to	receive	r	j	t	v
155	more	money	to	spend	d	n	t	v
155	more	powerful	than	any	r	j	c	d
155	morning	.	it	was	n	.	p	v
155	morning	america	.	"	n	n	y	y
155	most	people	would	be	d	n	v	v
155	mother	and	i	have	n	c	p	v
155	mother	and	i	were	n	c	p	v
155	move	up	and	down	v	r	c	r
155	mr	.	smith	.	#	#	n	.
155	much	greater	than	the	r	j	c	a
155	much	it	would	cost	r	p	v	v
155	much	more	complex	than	r	r	j	c
155	much	of	which	is	d	i	d	v
155	much	time	and	money	d	n	c	n
155	must	have	known	that	v	v	v	c
155	my	father	would	have	a	n	v	v
155	my	god	,	no	a	n	,	u
155	my	heart	was	pounding	a	n	v	v
155	my	mind	,	it	a	n	y	p
155	my	way	into	the	a	n	i	a
154	ma	:	harvard	university	n	:	n	n
154	mad	at	you	,	j	i	p	,
154	make	a	living	at	v	a	n	i
154	make	a	significant	difference	v	a	j	n
154	make	of	all	this	v	i	d	d
154	make	out	the	words	v	r	a	n
154	make	the	right	choices	v	a	j	n
154	make	things	better	for	v	n	r	i
154	make	things	worse	,	v	n	j	y
154	many	of	the	more	d	i	a	r
154	matter	where	you	go	r	r	p	v
154	may	be	necessary	.	v	v	j	y
154	may	be	viewed	as	v	v	v	c
154	may	have	been	exposed	v	v	v	v
154	may	increase	the	risk	v	v	a	n
154	may	not	even	know	v	x	r	v
154	maybe	she	was	n't	r	p	v	x
154	maybe	we	should	try	r	p	v	v
154	me	.	-	did	#	#	-	v
154	me	.	ca	n't	p	.	v	x
154	me	?	<p>	i	p	y	y	p
154	me	a	favour	.	p	a	n	.
154	me	ask	you	to	p	v	p	t
154	me	in	mind	of	p	i	n	i
154	me	show	you	how	p	v	p	r
154	me	take	you	to	p	v	p	i
154	me	that	they	're	p	c	p	v
154	me	the	strength	to	p	a	n	t
154	me	to	change	my	p	t	v	a
154	mean	,	is	there	v	y	v	e
154	mean	,	it	does	v	y	p	v
154	meet	you	.	so	v	p	.	r
154	members	of	the	band	n	i	a	n
154	mentioned	earlier	,	the	v	r	y	a
154	middle	east	.	he	j	n	y	p
154	might	be	better	to	v	v	j	t
154	might	want	to	keep	v	v	t	v
154	millions	of	people	.	n	i	n	.
154	mine	.	that	's	p	.	d	v
154	minute	.	-	what	n	.	-	d
154	money	is	being	spent	n	v	v	v
154	more	complicated	than	it	r	j	c	p
154	more	of	it	.	d	i	p	.
154	more	than	the	other	r	c	a	j
154	morning	.	this	is	n	.	d	v
154	move	!	do	n't	v	!	v	x
154	movement	.	<p>	"	n	y	y	y
154	movie	,	and	i	n	y	c	p
154	mr	brinkley	:	george	n	n	y	n
154	much	as	anything	else	d	c	p	r
154	much	you	can	do	d	p	v	v
154	must	be	a	good	v	v	a	j
154	my	best	friends	are	a	j	n	v
154	my	god	!	the	a	n	!	a
154	my	life	,	the	a	n	y	a
154	my	life	and	the	a	n	c	a
154	my	money	back	.	a	n	n	.
154	my	mother	and	me	a	n	c	p
154	my	way	home	from	a	n	r	i
154	my	wife	.	you	a	n	.	p
154	my	work	.	i	a	n	.	p
154	myself	in	front	of	p	i	i	i
153	machine	.	"	<p>	n	y	y	y
153	made	my	day	.	v	a	n	y
153	made	no	sense	to	v	a	n	i
153	made	some	of	the	v	d	i	a
153	madison	,	wis	,	n	y	n	y
153	madison	,	wisconsin	,	n	y	n	y
153	maintain	the	integrity	of	v	a	n	i
153	make	a	copy	of	v	a	n	i
153	make	a	pretty	good	v	a	r	j
153	make	any	sense	,	v	d	n	y
153	make	her	feel	better	v	p	v	r
153	make	sure	she	does	v	j	p	v
153	make	sure	you	take	v	j	p	v
153	makes	me	happy	.	v	p	j	.
153	many	of	his	colleagues	d	i	a	n
153	may	he	rest	in	v	p	v	i
153	may	not	be	that	v	x	v	r
153	may	not	know	what	v	x	v	d
153	maybe	he	wo	n't	r	p	v	x
153	maybe	not	.	but	r	x	y	c
153	maybe	we	should	do	r	p	v	v
153	maybe	you	should	talk	r	p	v	v
153	mcqueen	:	(	voice-over	n	y	y	n
153	me	,	honey	.	p	,	n	.
153	me	,	though	,	p	,	c	,
153	me	,	you	would	p	,	p	v
153	me	.	<p>	a	p	y	y	a
153	me	.	and	what	p	.	c	d
153	me	.	i	hope	p	y	p	v
153	me	.	my	name	p	.	a	n
153	me	.	oh	,	p	y	u	y
153	me	?	you	are	p	?	p	v
153	me	a	favor	.	p	a	n	y
153	me	about	that	.	p	i	d	.
153	me	help	you	with	p	v	p	i
153	me	in	my	life	p	i	a	n
153	me	it	was	n't	p	p	v	x
153	me	more	than	anything	p	r	c	p
153	me	show	you	something	p	n	p	p
153	me	since	i	was	p	c	p	v
153	me	the	story	of	p	a	n	i
153	me	you	love	me	p	p	v	p
153	meet	the	criteria	for	v	a	n	i
153	member	states	of	the	n	n	i	a
153	million	a	year	in	n	a	n	i
153	millions	of	dollars	on	m	i	n	i
153	mom	.	that	's	n	.	d	v
153	moment	,	please	?	n	,	r	?
153	months	in	advance	.	n	i	n	y
153	more	of	the	world	d	i	a	n
153	more	than	a	"	d	c	a	y
153	more	than	likely	,	d	c	j	y
153	most	people	in	this	d	n	i	d
153	most	people	wo	n't	d	n	v	x
153	mother	's	house	.	n	g	n	y
153	move	on	.	"	v	r	.	"
153	mr	.	mccoy	.	#	#	n	.
153	mr	rush	limbaugh	@!rush-limbaugh	n	n	n	z
153	much	as	it	does	d	c	p	v
153	much	to	my	surprise	r	i	a	n
153	music	.	it	's	n	.	p	v
153	must	be	addressed	.	v	v	v	y
153	my	god	!	(	a	n	!	(
153	my	husband	and	me	a	n	c	p
153	my	life	,	my	a	n	,	a
153	my	mouth	.	<p>	a	n	y	y
153	my	neck	.	"	a	n	y	y
153	my	son	,	who	a	n	y	p
153	my	time	.	i	a	n	.	p
153	my	way	to	a	a	n	i	a
153	myself	.	that	's	p	.	d	v
152	made	it	worse	.	v	p	j	y
152	make	a	mockery	of	v	a	n	i
152	make	it	a	better	v	p	a	j
152	make	matters	worse	,	v	n	j	,
152	make	things	worse	.	v	n	j	.
152	man	,	"	says	n	y	y	v
152	man	,	i	do	n	y	p	v
152	man	,	you	do	n	,	p	v
152	man	.	and	i	n	y	c	p
152	man	and	the	sea	n	c	a	n
152	man	who	ca	n't	n	p	v	x
152	march	21	,	2010	n	m	y	m
152	matter	what	they	say	d	d	p	v
152	may	be	based	on	v	v	v	i
152	may	be	true	.	v	v	j	y
152	may	not	need	to	v	x	v	t
152	may	seem	like	an	v	v	i	a
152	maybe	that	's	where	r	d	v	r
152	maybe	we	're	not	r	p	v	x
152	maybe	you	have	n't	r	p	v	x
152	me	.	i	told	p	y	p	v
152	me	.	maybe	i	p	.	r	p
152	me	.	where	is	p	.	r	v
152	me	.	you	and	p	.	p	c
152	me	?	you	want	p	?	p	v
152	me	and	i	could	p	c	p	v
152	me	at	this	point	p	i	d	n
152	me	because	i	have	p	c	p	v
152	me	if	you	have	p	c	p	v
152	me	the	way	you	p	a	n	p
152	me	to	death	.	p	i	n	y
152	mean	,	can	you	v	,	v	p
152	members	of	their	own	n	i	a	d
152	might	say	that	the	v	v	c	a
152	miles	away	.	"	n	r	y	y
152	minutes	a	day	,	n	a	n	y
152	mom	.	hey	,	n	.	u	,
152	moment	,	however	,	n	y	r	y
152	more	to	come	.	r	t	v	y
152	more	to	this	story	r	i	d	n
152	mr	will	:	mr	n	n	y	n
152	much	bigger	than	the	r	j	c	a
152	much	closer	to	the	r	j	i	a
152	much	more	than	an	d	d	c	a
152	my	experience	with	the	a	n	i	a
152	my	father	in	the	a	n	i	a
152	my	first	time	.	a	m	n	.
152	my	friend	.	and	a	n	.	c
152	my	god	,	he	a	n	y	p
152	my	grandfather	was	a	a	n	v	a
152	my	guess	is	,	a	n	v	y
152	my	life	,	you	a	n	,	p
152	my	money	's	on	a	n	v	i
152	my	neck	.	i	a	n	y	p
151	made	me	cry	.	v	p	n	y
151	make	a	living	in	v	a	n	i
151	make	peace	with	the	v	n	i	a
151	make	their	way	through	v	a	n	i
151	makes	you	wonder	what	v	p	v	d
151	man	,	he	's	n	y	p	v
151	many	of	them	as	d	i	p	c
151	many	of	us	can	d	i	p	v
151	many	other	things	that	d	j	n	c
151	march	15	,	2011	n	m	y	m
151	marriage	.	<p>	"	n	y	y	y
151	matter	how	much	they	r	r	r	p
151	matters	into	his	own	n	i	a	d
151	may	be	different	from	v	v	j	i
151	may	be	enough	to	v	v	d	t
151	may	be	used	as	v	v	v	i
151	may	never	be	able	v	r	v	j
151	maybe	it	's	my	r	p	v	a
151	me	.	"	we	p	.	"	p
151	me	.	<p>	she	p	y	y	p
151	me	.	in	the	p	.	i	a
151	me	.	they	were	p	.	p	v
151	me	?	you	've	p	?	p	v
151	me	because	of	the	p	i	i	a
151	me	for	it	.	p	i	p	y
151	me	if	you	do	p	c	p	v
151	me	in	here	.	p	i	r	.
151	me	in	terms	of	p	i	i	i
151	me	in	the	hospital	p	i	a	n
151	me	talk	to	him	p	n	i	p
151	me	to	.	i	p	t	.	p
151	me	to	be	an	p	t	v	a
151	mean	,	first	of	v	y	m	i
151	mean	,	it	would	v	y	p	v
151	mean	,	what	the	v	,	d	a
151	meaning	of	the	words	n	i	a	n
151	might	be	looking	for	v	v	v	i
151	might	have	been	expected	v	v	v	v
151	might	sound	like	a	v	v	i	a
151	mind	,	but	i	n	y	c	p
151	mind	.	i	'm	v	.	p	v
151	mind	.	well	,	n	.	r	,
151	mom	,	"	i	n	y	y	p
151	moment	.	i	'm	n	.	p	v
151	money	.	this	is	n	.	d	v
151	more	.	it	's	d	y	p	v
151	more	and	more	.	r	c	r	.
151	more	people	will	be	d	n	v	v
151	more	than	95	percent	d	c	m	n
151	morning	,	everybody	.	n	y	p	y
151	morning	.	we	're	n	.	p	v
151	morning	.	yeah	,	n	.	u	,
151	move	in	that	direction	v	i	d	n
151	museum	of	african	american	n	i	j	j
151	music	,	and	i	n	y	c	p
151	must	be	more	than	v	v	d	c
151	must	be	said	that	v	v	v	c
151	my	,	my	,	a	y	a	y
151	my	brother	and	my	a	n	c	a
151	my	children	.	"	a	n	y	y
151	my	dear	.	i	a	n	.	p
151	my	heart	.	"	a	n	.	"
151	my	mind	.	the	a	n	y	a
151	my	mother	taught	me	a	n	v	p
151	myself	.	i	was	p	.	p	v
150	m	)	i	've	z	)	p	v
150	ma	:	harvard	university	n	y	n	n
150	ma'am	.	it	's	n	.	p	v
150	made	me	laugh	.	v	p	n	y
150	make	the	connection	between	v	a	n	i
150	makes	:	4	servings	v	y	m	n
150	making	sure	that	you	v	j	c	p
150	making	the	transition	from	v	a	n	i
150	mama	's	gon	na	n	v	v	t
150	man	.	-	no	n	.	-	u
150	man	1	:	it	n	m	y	p
150	many	places	in	the	d	n	i	a
150	map	to	the	stars	n	i	a	n
150	market	,	"	he	n	y	y	p
150	may	30	,	2012	n	m	y	m
150	may	be	the	same	v	v	a	d
150	me	,	"	it	p	y	y	p
150	me	.	<p>	http	p	y	y	n
150	me	.	i	looked	p	y	p	v
150	me	.	i	remember	p	y	p	v
150	me	.	see	,	p	.	v	,
150	me	?	what	about	p	?	d	i
150	me	as	long	as	p	c	c	c
150	me	for	it	.	p	i	p	.
150	me	here	.	-	p	r	.	-
150	me	how	to	use	p	r	t	v
150	me	if	you	're	p	c	p	v
150	me	out	in	the	p	r	i	a
150	me	out	on	the	p	r	i	a
150	me	qwq	@	(	n	x	i	y
150	me	to	death	.	p	i	n	.
150	me	to	find	a	p	t	v	a
150	mean	,	i	love	v	y	p	v
150	mean	,	why	do	v	,	r	v
150	mean	when	you	say	v	r	p	v
150	meant	to	hurt	you	v	t	v	p
150	meeting	of	the	minds	n	i	a	n
150	member	of	the	united	n	i	a	n
150	might	as	well	try	v	r	r	v
150	might	prove	to	be	v	v	t	v
150	mind	,	though	,	n	y	c	y
150	mind	.	"	#	n	.	"	f
150	minute	.	i	do	n	.	p	v
150	missing	and	exploited	children	v	c	j	n
150	month	or	two	,	n	c	m	y
150	months	on	the	job	n	i	a	n
150	more	,	"	said	r	y	y	v
150	more	about	wp	brandstudio.	r	i	n	n
150	more	details	on	the	d	n	i	a
150	more	efficient	use	of	r	j	n	i
150	more	money	than	he	d	n	c	p
150	more	than	one	.	d	c	m	.
150	morning	continues	.	@(announcements)	n	v	y	z
150	most	importantly	,	i	r	r	y	p
150	most	of	our	time	d	i	a	n
150	most	recent	year	for	r	j	n	i
150	mother	.	"	#	n	.	"	f
150	move	in	with	him	v	r	i	p
150	moved	to	the	city	v	i	a	n
150	mr	brinkley	:	you	n	n	y	p
150	much	do	i	owe	d	v	p	v
150	much	in	common	.	d	r	r	.
150	much	of	my	time	d	i	a	n
150	must	learn	how	to	v	v	r	t
150	my	children	,	and	a	n	y	c
150	my	family	.	"	a	n	.	"
150	my	father	was	n't	a	n	v	x
150	my	mouth	shut	.	a	n	v	.
150	my	own	way	.	a	d	n	y
150	my	wife	and	me	a	n	c	p
150	myself	.	it	was	p	y	p	v
149	made	me	look	like	v	p	v	i
149	make	a	point	.	v	a	n	.
149	make	money	.	"	v	n	y	y
149	make	that	mistake	again	v	d	n	r
149	male	and	female	.	j	c	n	y
149	man	,	but	he	n	,	c	p
149	man	4	:	i	n	m	y	p
149	man	who	tried	to	n	p	v	t
149	matter	of	seconds	.	n	i	n	y
149	may	end	up	with	v	v	r	i
149	may	not	be	.	v	x	v	y
149	maybe	,	but	i	r	,	c	p
149	maybe	we	could	do	r	p	v	v
149	me	.	<p>	that	p	y	y	d
149	me	.	but	he	p	y	c	p
149	me	.	fine	.	p	.	j	.
149	me	?	"	and	p	y	y	c
149	me	?	-	that	p	?	-	d
149	me	anymore	.	i	p	r	.	p
149	me	feel	better	about	p	n	r	i
149	me	in	the	past	p	i	a	n
149	me	like	this	?	p	i	d	?
149	me	show	you	what	p	n	p	d
149	me	up	,	"	p	r	y	y
149	me	when	it	's	p	r	p	v
149	me	you	ca	n't	p	p	v	x
149	mean	,	if	they	v	y	c	p
149	mean	to	do	it	v	t	v	p
149	medal	of	honor	.	n	i	n	y
149	member	of	his	family	n	i	a	n
149	member	of	the	armed	n	i	a	j
149	men	and	a	woman	n	c	a	n
149	men	and	women	is	n	c	n	v
149	mg	sodium	,	3	n	n	y	m
149	might	not	seem	like	v	x	v	i
149	millions	of	dollars	,	n	i	n	,
149	millions	of	dollars	from	m	i	n	i
149	millions	of	years	.	n	i	n	y
149	minute	.	"	"	n	y	y	y
149	mistakes	.	"	<p>	n	y	y	y
149	moment	,	though	,	n	y	c	y
149	money	,	and	he	n	y	c	p
149	money	,	money	,	n	,	n	,
149	money	in	their	pockets	n	i	a	n
149	more	.	i	'm	r	y	p	v
149	more	.	that	's	r	y	d	v
149	more	money	out	of	d	n	i	i
149	more	than	30	minutes	d	c	m	n
149	morning	.	<p>	i	n	y	y	p
149	most	cases	,	it	d	n	y	p
149	much	,	much	better	r	y	r	r
149	much	.	yeah	,	d	.	u	,
149	much	time	trying	to	d	n	v	t
149	must	be	out	of	v	v	i	i
149	must	come	to	an	v	v	i	a
149	my	dad	had	a	a	n	v	a
149	my	eyes	.	the	a	n	y	a
149	my	god	,	"	a	n	,	"
149	my	lord	,	"	a	n	y	y
149	my	mind	that	the	a	n	c	a
149	my	mom	's	house	a	n	g	n
149	my	mother	says	.	a	n	v	y
149	my	mother	would	say	a	n	v	v
149	my	name	in	the	a	n	i	a
149	my	own	business	,	a	d	n	y
149	myself	when	i	was	p	c	p	v
148	m	(	2004	)	n	y	m	y
148	m.d.	anderson	cancer	center	n	n	n	n
148	made	a	difference	,	v	a	n	y
148	made	our	way	to	v	a	n	i
148	majority	leader	george	mitchell	n	n	n	n
148	make	clear	that	the	v	j	c	a
148	make	sure	they	know	v	j	p	v
148	many	of	the	victims	d	i	a	n
148	many	people	are	in	d	n	v	i
148	many	people	will	be	d	n	v	v
148	matter	.	i	'm	v	.	p	v
148	matter	of	hours	.	n	i	n	y
148	may	have	found	a	v	v	v	a
148	may	have	had	some	v	v	v	d
148	maybe	i	should	be	r	p	v	v
148	me	,	boy	.	p	,	n	.
148	me	,	either	.	p	y	r	y
148	me	,	jack	.	p	,	n	.
148	me	,	she	said	p	y	p	v
148	me	.	and	she	p	.	c	p
148	me	.	i	get	p	.	p	v
148	me	.	they	are	p	y	p	v
148	me	?	?	and	p	?	?	c
148	me	a	lot	,	p	r	r	y
148	me	a	pair	of	p	a	n	i
148	me	know	.	i	p	v	y	p
148	me	on	the	way	p	i	a	n
148	me	the	truth	.	p	a	n	y
148	me	to	be	there	p	t	v	r
148	me	to	do	about	p	t	v	i
148	me	to	go	home	p	t	v	r
148	me	your	name	.	p	a	n	.
148	mean	,	is	that	v	,	v	d
148	mean	to	suggest	that	v	t	v	c
148	medical	care	,	and	j	n	y	c
148	might	be	described	as	v	v	v	i
148	might	want	to	see	v	v	t	v
148	miles	per	hour	and	n	i	n	c
148	million	,	compared	with	m	y	v	i
148	minutes	a	day	.	n	a	n	y
148	mitt	romney	and	paul	n	n	c	n
148	modern	art	in	new	j	n	i	n
148	moment	of	your	time	n	i	a	n
148	money	where	your	mouth	n	c	a	n
148	more	.	<p>	in	r	y	y	i
148	more	.	it	's	d	.	p	v
148	more	.	that	's	r	.	d	v
148	more	effective	.	<p>	r	j	y	y
148	more	information	,	go	d	n	y	v
148	more	likely	to	support	r	j	t	v
148	more	than	any	of	r	c	d	i
148	more	than	just	one	d	c	r	m
148	more	than	to	be	d	c	t	v
148	more	trouble	than	it	d	n	c	p
148	most	important	things	in	r	j	n	i
148	movies	of	all	time	n	i	d	n
148	much	better	than	that	r	r	c	d
148	much	for	me	to	d	i	p	t
148	much	of	the	season	d	i	a	n
148	much	time	as	you	d	n	c	p
148	much	work	to	do	d	n	t	v
148	must	be	a	reason	v	v	a	n
148	must	keep	in	mind	v	v	i	n
148	my	career	.	"	a	n	y	y
148	my	god	.	did	a	n	.	v
148	my	life	for	the	a	n	i	a
148	my	mom	,	she	a	n	,	p
148	my	mother	does	n't	a	n	v	x
148	myself	that	i	have	p	c	p	v
147	made	a	career	of	v	a	n	i
147	made	his	way	through	v	a	n	i
147	made	it	seem	like	v	p	v	i
147	made	the	sign	of	v	a	n	i
147	make	a	move	.	v	a	n	y
147	make	an	argument	that	v	a	n	c
147	make	me	happy	.	v	p	j	y
147	make	sure	that	if	v	j	c	c
147	man	.	i	love	n	.	p	v
147	man	.	that	was	n	.	d	v
147	man	?	well	,	n	?	r	,
147	man	of	the	cloth	n	i	a	n
147	many	people	,	the	d	n	y	a
147	many	times	.	"	d	n	y	y
147	market	share	in	the	n	n	i	a
147	may	be	a	very	v	v	a	r
147	may	have	resulted	in	v	v	v	i
147	may	not	be	easy	v	x	v	j
147	maybe	it	is	time	r	p	v	n
147	maybe	there	will	be	r	e	v	v
147	me	.	-	get	#	#	-	v
147	me	.	-	hi	#	#	-	u
147	me	.	and	if	p	y	c	c
147	me	.	now	i	p	y	r	p
147	me	.	we	got	p	.	p	v
147	me	?	you	got	p	?	p	v
147	me	and	say	,	p	c	v	,
147	me	like	that	,	p	i	d	y
147	me	q!	q!	q!	n	q	q	q
147	me	the	way	i	p	a	n	p
147	me	to	the	ground	p	i	a	n
147	mean	,	they	've	v	y	p	v
147	meeting	of	the	national	n	i	a	j
147	member	of	your	family	n	i	a	n
147	members	of	her	family	n	i	a	n
147	might	be	just	the	v	v	r	a
147	might	want	to	read	v	v	t	v
147	mike	said	.	"	n	v	y	y
147	million	a	year	for	m	a	n	i
147	million	of	his	own	m	i	a	d
147	miss	the	rest	of	v	a	n	i
147	mm	,	mm	,	u	,	u	,
147	mm-hmm	.	@!couric	:	u	y	z	y
147	mom	,	"	he	n	y	y	p
147	money	.	and	i	n	.	c	p
147	more	.	<p>	the	d	y	y	a
147	more	important	,	he	r	j	y	p
147	more	in	keeping	with	r	i	i	i
147	more	than	one	thing	d	c	m	n
147	most	effective	ways	to	r	j	n	t
147	mother	.	that	's	n	.	d	v
147	mr	brinkley	:	all	n	n	y	r
147	much	.	hey	,	d	.	u	,
147	much	as	i	have	d	c	p	v
147	much	it	will	cost	r	p	v	v
147	much	more	in	the	d	d	i	a
147	much	of	her	life	d	i	a	n
147	much	or	too	little	d	c	r	d
147	much	so	that	he	d	c	c	p
147	murder	in	the	death	n	i	a	n
147	murder	of	his	wife	n	i	a	n
147	must	be	used	to	v	v	v	t
147	must	have	been	pretty	v	v	v	r
147	my	baby	.	i	a	n	.	p
147	my	family	has	been	a	n	v	v
147	my	father	gave	me	a	n	v	p
147	my	husband	,	"	a	n	y	y
147	my	mouth	shut	.	a	n	v	y
147	my	name	's	not	a	n	v	x
147	my	parents	do	n't	a	n	v	x
147	my	sister	and	me	a	n	c	p
147	my	view	,	is	a	n	y	v
147	my	way	home	.	a	n	r	.
146	macneil	.	good	night	n	y	j	n
146	made	a	beeline	for	v	a	n	i
146	made	her	think	of	v	a	n	i
146	made	the	same	mistake	v	a	d	n
146	make	you	feel	bad	v	p	v	j
146	makes	a	lot	more	v	r	r	d
146	making	a	mockery	of	v	a	n	i
146	making	this	up	.	v	d	r	y
146	man	,	and	a	n	y	c	a
146	man	,	i	did	n	,	p	v
146	man	,	look	at	n	,	v	i
146	man	1	:	..	n	m	y	.
146	man	who	wanted	to	n	p	v	t
146	many	different	ways	to	d	j	n	t
146	many	of	the	participants	d	i	a	n
146	many	of	these	women	d	i	d	n
146	may	be	less	likely	v	v	r	j
146	maybe	a	little	too	r	r	r	r
146	maybe	he	should	have	r	p	v	v
146	me	!	this	is	p	!	d	v
146	me	.	"	-	#	#	"	-
146	me	again	,	i	p	r	,	p
146	me	and	the	other	p	c	a	j
146	me	show	you	.	p	n	p	.
146	me	so	long	to	p	r	j	t
146	me	that	we	have	p	c	p	v
146	me	what	kind	of	p	d	n	i
146	me	wrong	,	i	p	r	,	p
146	mean	,	he	is	v	,	p	v
146	mean	,	it	could	v	,	p	v
146	mean	,	they	are	v	y	p	v
146	mean	?	what	do	v	?	d	v
146	mean	there	's	a	v	e	v	a
146	meet	the	press	"	v	a	n	"
146	members	of	the	united	n	i	a	n
146	men	and	women	do	n	c	n	v
146	might	be	seen	as	v	v	v	c
146	might	have	come	from	v	v	v	i
146	mind	.	it	's	v	.	p	v
146	mission	.	"	<p>	n	y	y	y
146	mm	.	mm	.	u	.	u	.
146	mm	.	oh	,	u	.	u	,
146	mm	.	well	,	u	.	r	,
146	money	,	it	's	n	,	p	v
146	money	.	-	what	n	.	-	d
146	months	from	now	.	n	i	r	y
146	more	deeply	into	the	r	r	i	a
146	morning	,	sir	.	n	y	n	y
146	morning	.	you	know	n	.	p	v
146	morning	to	all	of	n	i	d	i
146	most	of	his	adult	d	i	a	n
146	most	of	the	land	d	i	a	n
146	most	of	us	think	d	i	p	v
146	mother	and	i	are	n	c	p	v
146	much	for	me	.	d	i	p	y
146	much	so	that	it	d	c	c	p
146	much	to	ask	?	d	t	v	?
146	music	(	m	)	n	(	z	)
146	must	agree	to	the	v	v	i	a
146	my	business	.	"	a	n	y	y
146	my	car	.	"	a	n	y	y
146	my	heart	and	i	a	n	c	p
146	my	sister	.	"	a	n	y	y
146	myself	.	you	're	p	.	p	v
145	m	(	2005	)	n	y	m	y
145	made	a	mockery	of	v	a	n	i
145	made	it	quite	clear	v	p	r	j
145	make	a	bit	of	v	a	n	i
145	make	a	sound	.	v	a	n	.
145	man	?	-	what	n	?	-	d
145	man	said	.	<p>	n	v	y	y
145	man	who	has	a	n	p	v	a
145	many	,	many	times	d	,	d	n
145	many	years	,	"	d	n	y	y
145	mark	my	words	,	v	a	n	y
145	markets	around	the	world	n	i	a	n
145	married	to	a	man	j	i	a	n
145	mathematics	,	science	,	n	y	n	y
145	matter	of	course	.	n	r	r	y
145	may	be	good	for	v	v	j	i
145	may	be	provided	by	v	v	v	i
145	may	be	useful	for	v	v	j	i
145	may	i	see	your	v	p	v	a
145	maybe	i	was	just	r	p	v	r
145	maybe	that	's	how	r	d	v	r
145	maybe	you	've	heard	r	p	v	v
145	maybe	you	should	ask	r	p	v	v
145	me	,	and	..	p	,	c	.
145	me	,	and	a	p	y	c	a
145	me	,	or	i	p	,	c	p
145	me	.	"	his	p	y	y	a
145	me	.	"	no	p	y	y	x
145	me	.	we	need	p	.	p	v
145	me	.	what	was	p	.	d	v
145	me	.	you	could	p	.	p	v
145	me	out	of	bed	p	i	i	n
145	me	this	is	n't	p	d	v	x
145	me	to	you	.	p	i	p	.
145	me	want	to	cry	p	v	t	v
145	mean	,	not	that	v	,	x	c
145	mean	,	we	could	v	,	p	v
145	mean	?	"	he	v	y	y	p
145	mean	?	-	well	v	?	-	r
145	mean	by	that	is	v	i	d	v
145	mean	you	did	n't	v	p	v	x
145	meant	it	as	a	v	p	i	a
145	meet	you	too	.	v	p	r	.
145	members	of	the	republican	n	i	a	n
145	men	in	her	life	n	i	a	n
145	might	be	difficult	to	v	v	j	t
145	might	be	that	the	v	v	c	a
145	might	even	be	a	v	r	v	a
145	mine	.	well	,	p	.	r	,
145	minute	.	-	i	n	.	-	p
145	missed	you	too	.	v	p	r	.
145	moment	,	we	'll	n	y	p	v
145	moment	.	#	"	n	.	f	"
145	more	likely	to	come	r	j	t	v
145	more	than	15	percent	d	c	m	n
145	more	than	150	years	d	c	m	n
145	more	than	3	million	d	c	m	n
145	most	of	the	members	d	i	a	n
145	most	people	,	the	d	n	y	a
145	most	powerful	men	in	r	j	n	i
145	mother	's	house	,	n	g	n	y
145	mr	brinkley	:	now	n	n	y	r
145	much	i	can	do	r	p	v	v
145	much	is	at	stake	d	v	i	n
145	much	of	the	current	d	i	a	j
145	must	be	some	way	v	v	d	n
145	my	friends	and	my	a	n	c	a
145	my	husband	,	i	a	n	y	p
145	my	husband	does	n't	a	n	v	x
145	my	job	to	make	a	n	t	v
144	made	the	best	of	v	a	j	i
144	made	up	mostly	of	v	r	r	i
144	mahwah	,	nj	:	u	,	n	:
144	make	every	attempt	to	v	a	n	t
144	make	it	a	lot	v	p	r	r
144	make	life	easier	for	v	n	r	i
144	make	no	sense	.	v	a	n	y
144	make	such	a	big	v	d	a	j
144	make	sure	that	these	v	j	c	d
144	make	yourselves	at	home	v	p	i	n
144	makes	clear	that	the	v	j	c	a
144	makes	me	laugh	.	v	p	n	y
144	man	.	but	i	n	.	c	p
144	man	:	(	singing	n	y	y	v
144	marking	the	end	of	v	a	n	i
144	martin	said	.	"	n	v	y	y
144	math	and	science	,	n	c	n	y
144	matter	what	the	cost	d	d	a	n
144	mattress	on	the	floor	n	i	a	n
144	may	be	that	we	v	v	c	p
144	maybe	he	's	got	r	p	v	v
144	me	!	he	's	p	!	p	v
144	me	,	since	i	p	y	c	p
144	me	.	like	,	p	.	v	,
144	me	.	we	do	p	.	p	v
144	me	?	i	do	p	y	p	v
144	me	back	.	i	p	r	y	p
144	me	for	the	last	p	i	a	m
144	me	in	new	york	p	i	n	n
144	me	in	the	dark	p	i	a	n
144	me	to	come	down	p	t	v	r
144	me	up	,	and	p	r	y	c
144	me	what	it	's	p	d	p	v
144	me	what	you	do	p	d	p	v
144	mean	,	a	lot	v	,	a	n
144	mean	,	we	had	v	y	p	v
144	millions	of	americans	.	m	i	n	y
